ID_SAEB,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,ID_ESCOLA,IN_PUBLICA,ID_LOCALIZACAO,ID_TURMA,ID_SERIE,ID_ALUNO,IN_SITUACAO_CENSO,IN_PREENCHIMENTO_LP,IN_PREENCHIMENTO_MT,IN_PRESENCA_LP,IN_PRESENCA_MT,ID_CADERNO_LP,ID_BLOCO_1_LP,ID_BLOCO_2_LP,NU_BLOCO_1_ABERTA_LP,NU_BLOCO_2_ABERTA_LP,ID_CADERNO_MT,ID_BLOCO_1_MT,ID_BLOCO_2_MT,NU_BLOCO_1_ABERTA_MT,NU_BLOCO_2_ABERTA_MT,TX_RESP_BLOCO1_LP,TX_RESP_BLOCO2_LP,CO_CONCEITO_Q1_LP,CO_CONCEITO_Q2_LP,CO_RESPOSTA_TEXTO,CO_CONCEITO_PROPOSITO,CO_CONCEITO_ELEMENTO,CO_CONCEITO_SEGMENTACAO,CO_TEXTO_GRAFIA,TX_RESP_BLOCO1_MT,TX_RESP_BLOCO2_MT,CO_CONCEITO_Q1_MT,CO_CONCEITO_Q2_MT,IN_PROFICIENCIA_LP,IN_PROFICIENCIA_MT,IN_AMOSTRA,ESTRATO,PESO_ALUNO_LP,PROFICIENCIA_LP,ERRO_PADRAO_LP,PROFICIENCIA_LP_SAEB,ERRO_PADRAO_LP_SAEB,PESO_ALUNO_MT,PROFICIENCIA_MT,ERRO_PADRAO_MT,PROFICIENCIA_MT_SAEB,ERRO_PADRAO_MT_SAEB
2021,5,53,6322169,1,61385273,1,2,1451120,2,49182728,1,1,1,1,1,6,6,7,6,7,6,6,7,6,7,CCAACADB,BACCCCCD,A,B,TX,B,C,B,A,DABCACAAB,CCBADAAAA,0,0,1,1,1,53221,62.488066027000000,0.145753,0.378163,756.29849,20.952623,57.902852418000000,-0.102862,0.391393,742.825963,22.125317
2021,3,32,6319766,2,61394248,1,1,1236425,2,49213422,1,0,1,0,1,1,1,2,1,2,1,1,2,1,2,........,........,D,D,BR,.,.,.,.,CBBBDACAA,AAAABAACA,20,0,0,1,1,32212,,,,,,57.052968475000000,-2.076723,0.550389,631.244287,31.113308
2021,1,14,6316738,1,61358559,0,1,1419291,2,49000805,1,1,1,1,1,21,7,3,7,3,21,7,3,7,3,BACCCBCC,CDCBCBDD,B,B,TX,B,C,A,A,CCBABBCCB,CBCDDAAAA,0,11,1,1,1,14411,4.443807339400000,-0.249474,0.332153,734.400424,18.403378,4.632396891800000,-0.562414,0.400111,716.847671,22.618142
2021,3,35,6320429,1,61385860,1,1,1308442,2,49221323,1,0,1,0,1,16,2,5,2,5,16,2,5,2,5,........,........,D,D,BR,.,.,.,.,CBDDBCAAA,ABBCCCBBA,22,11,0,1,1,35311,,,,,,312.192884490000000,0.575801,0.466274,781.190569,26.358315
2021,1,14,6316743,2,61337466,1,1,1228180,2,48985761,1,0,0,0,0,13,6,1,6,1,13,6,1,6,1,........,........,D,D,BR,.,.,.,.,.........,.........,.,.,0,0,1,14312,,,,,,,,,,
2021,5,52,6322017,1,61385186,1,1,1300419,2,49134613,1,1,0,1,0,17,3,6,3,6,17,3,6,3,6,CDCBCCBD,CCAADBCB,B,A,TX,A,B,B,A,.........,.........,.,.,1,0,1,52311,81.484270833000000,-0.298802,0.316997,731.667361,17.56364,,,,,
2021,1,13,6316711,1,61328813,1,2,1442994,2,48985447,1,1,1,1,1,19,5,1,5,1,19,5,1,5,1,BCBCAAAD,BAACDBC*,D,D,NL,*,*,*,*,ABBCCCCBA,DCCBBBCCC,11,21,1,1,1,13321,2.453447050500000,-1.086613,0.364309,688.017643,20.185024,2.460441910200000,0.375507,0.459954,769.868018,26.001047
2021,1,17,6317043,1,61350634,0,1,1387447,2,48900808,1,0,0,0,0,11,4,6,4,6,11,4,6,4,6,........,........,D,D,BR,.,.,.,.,.........,.........,.,.,0,0,1,17411,,,,,,,,,,
2021,2,27,6318300,2,61352452,1,1,1363532,2,48928393,1,1,1,1,1,12,5,7,5,7,12,5,7,5,7,BABAAABC,BBAAAAAC,C,D,NL,*,*,*,*,DBCDBCBBA,CCBAADBCC,11,2,1,1,1,27312,102.959016020000000,-2.204743,0.385519,626.066145,21.360192,99.408441934000000,-0.316583,0.457192,730.744437,25.844912
2021,2,26,6318095,2,61392129,1,1,1419222,2,48934627,1,1,1,1,1,4,4,5,4,5,4,4,5,4,5,BCDBBAAA,BAACBABB,C,C,NL,*,*,*,*,AACACCDBB,ABBCDCDCA,0,11,1,1,1,26212,1.541538461500000,-1.574011,0.335342,661.012723,18.580069,1.522796352600000,0.310405,0.428646,766.187841,24.231216
